,火山,科大讯飞,百度
20241215191503.wav,小哥小哥，你的音乐不能用了吗？,小格小格，你的音乐不能用了吗？,小哥，小哥，你的音乐不能用了吗？
20241218231732.wav,小哥小哥，明天八点半提醒我起床，十点钟提醒我去开车可以吗？,小哥小哥，明天8:30提醒我起床，10:00提醒我去开车，可以吗？,小哥，小哥，明天八点半提醒我起床，十点钟提醒我去开车，可以吗？
20241210181125.wav,给我发几张格莱美中式婚宴图片！,给我发几张格莱美中式婚宴图片。,给我发几张格莱美中式婚宴图片。
20241203182925.wav,小哥小哥，我跟谭伟琪小姐谁啊？我们啊，我有。,小哥小哥，我跟谭伟琪小姐。,小哥，小哥，我跟谭炜琪小姐，我们。
20241219222856.wav,提醒陈哲玉在两分钟后给我回微信消息。,提醒程泽钰在两分钟后给我回微信消息。,提醒谌泽雨在两分钟后给我回微信消息。
20241228190837.wav,小格小格，给我介绍一下格莱美三店碧海潮生厅。,小哥小哥，给我介绍一下格莱美，三店碧海潮生津。,小哥，小哥给我介绍一下格莱美三店碧海潮生厅。
20241215192426.wav,小哥，小哥，你帮我生成的图片太老了哦，我还没这么老，我能不能拍张照片，用我的照片生成啊？我在屋顶上。徽派建筑的屋顶上的照片。吃西瓜的照片。,小格小格你把我生成的图片太老了，我还没这么老，我能不能拍张照片用我的照片生成我在屋顶上徽派建筑的屋顶上的照片，吃西瓜的照片。,小哥，小哥，你帮我生成的图片太老了，我还没这么老，我能不能拍张照片？用我的照片生成啊？我在屋顶上徽派建筑的屋顶上的照片，吃西瓜的照片。
20241218190540.wav,春节抢票需要提前多少天？,春节抢票需要提前多少天？,春节抢票需要提前多少天？
20241227103004.wav,把各种龙虾蟹和鱼的价格发给我！,把各种龙虾蟹和鱼的价格发给我。,把各种龙虾蟹和鱼的价格发给我。
20241226180018.wav,你好小格，请给我介绍一下秀山路格莱美的装修。,你好小格请给我介绍一下秀山路格莱美的装修。,你好，小哥，请给我介绍一下秀山路格莱美的装修。
20241231214024.wav,表格小格你帮我做一个慈溪中东城之歌，我们做中国首个中东城！,小哥小哥，你帮我做一个慈溪忠诚之歌，我们做中国首个中东城。,小哥，小哥，你帮我做一个慈溪中通诚之歌，我们坐中国首个中通诚。
20241220131549.wav,提醒我五分钟后去买一瓶水。,提醒我5分钟后去买一瓶水。,提醒我五分钟后去买一瓶水。
20241219222249.wav,五分钟后提醒王珍去睡觉。,5分钟后提醒王峥去睡觉。,五分钟后提醒王峥去睡觉。
20241218193505.wav,今天晚上上海会下雪吗？,今天晚上上海会下雪吗？,今天晚上上海会下雪吗？
20241225214623.wav,一个师弟小格小格，我要看科技路上格莱美所有听的照片。,小哥小哥，我要看科技路上格莱美所有厅的照片。,小哥，小哥，我要看科技路上格莱美所有厅的照片。
20241228184738.wav,明州路格莱美亚特兰蒂斯汀啊，帮我介绍一下。,明珠路格莱美亚特兰蒂斯汀，嗯，帮我介绍一下。,明州路格莱美亚特兰蒂斯厅，嗯，帮我介绍一下。
20241230143617.wav,提醒我两分钟后再喝一杯水！,提醒我两分钟后再喝一杯水。,提醒我两分钟后再喝一杯水。
20250101192529.wav,小格小格啊，发一下对新人的祝福语！,讲个小哥，发一下对新人的祝福语。,小哥，小哥嗯，发一下对新人的祝福语。
20241230233406.wav,小格小格，我们这两天格莱美做了什么大事情呀，你来跟我说说。,小哥小哥，我们这两天格莱美做了什么大事情呀？你来跟我说说。,小哥，小哥，我们这两天跟他们做了什么大事情呀，你来跟我说说。
20241231213616.wav,小哥小哥，你帮我看这一组图片，哪张图片拍得最好，你帮我选一下可以吗？,小哥小哥，你帮我看这一组图片，哪张图片拍得最好，你帮我选一下可以吗？,叫个小哥，你帮我看这一组图片，哪张图片拍得最好，你帮我选一下可以吗？
20241225213010.wav,考莱蒙以珊瑚店最近有什么优惠？,格莱美以珊瑚店最近有什么优惠？,格莱美以珊瑚店最近有什么优惠？
20241228005150.wav,你能跟我说说更多的行业吗？,你能跟我说说更多的行业吗？,能跟我说说更多的行业吗？
20241231202928.wav,小格小格，帮我做一个格莱美江云府跨年图吧！,小哥小哥帮我做一个格莱美，将云浮跨年图吧。,小格小哥，帮我做一个格莱美江云府跨年抽吧！
20241224185849.wav,小格把这盘菜做成漫画！,小哥把这盘菜做成漫画。,小格把这盘菜做成漫画。
20241213212715.wav,小格小格，怎么去邀约客户呢？帮我出一套好的营销方案。,小哥小哥，怎么去邀约客户呢？帮我出一套好的营销方案。,小格小格怎么去邀约客户呢？帮我出一套好的营销方案。
20241225151058.wav,小格小格，格莱美的王帅峰是干什么的？,小格小格格莱，美的王帅锋是干什么的？,小哥，小哥，格莱美的王帅锋是干什么的？
20241225151138.wav,我推景格下午好好好！,小哥下午好！,我只想和下午好。
20241219231746.wav,提醒王珍现在跟我说一个晚安故事。,提醒王峥，现在跟我说一个晚安故事。,提醒完整，现在跟我说一个晚安故事。
20241228184909.wav,我想了解一下格莱美二店秀场厅的资料？,我想了解一下格莱美二店就餐厅的资料。,我想了解一下格莱美二店秀场天的治疗。
20241217204906.wav,小格小格，给我发送歌剧魅影魅影厅的图片。,小格小格给我发送歌剧魅影魅影听的图片。,小格小格给我发送歌剧魅影影厅的图片。
20241222174109.wav,小格剧院厅的设计理念。,小格剧院厅的设计理念。,小格剧院厅的设计理念。
20241228185828.wav,小哥小哥，介绍一下格莱美商店，迪拜听。,小哥小哥介绍一下格莱美商店，the fighting.,小哥，小哥介绍一下格莱美商店的拜亭。
20241220214954.wav,给我写一首周末假期的歌曲？,给我写一首周末假期的歌曲。,给我写一首周末假期的歌曲。
20241216223511.wav,慈溪市百强县里面排名第几名？,慈溪市百强县里面排名第几名？,慈溪市百强县里面排名第几名？
20241226071829.wav,我想听听汉代，汉代刘邦，汉高祖刘邦。,我想听听汉代，汉代刘邦，汉高祖刘邦。,我想听听汉代汉代刘邦汉高祖刘邦。
20241203121040.wav,一、二、三、四、五、六、七、八、九、十。,123456789 10,一二三四五六七八九十。
20241220224703.wav,提醒我五分钟后按时下班！,提醒我5分钟后按时下班。,提醒我五分钟后按时下班。
20241227102917.wav,小格把海鲜价格表发给我！,小格，把海鲜价格表发给我。,小格把海鲜价格表发给我。
20241225151505.wav,小格，小格，小格，我失恋了。,小格小格小哥我失恋了。,找个小哥，小哥，我失恋了。
20241225151713.wav,比如你想了解小格小格帮我查一下。队友们您继续格莱美科技路店你问问你问问你问问格局魅听的照片。,小格小格帮我查一下格莱美科技路店，你的照片。,小哥，小哥，帮我查一下格莱美科技路店歌剧魅影厅的照片。
20241231214340.wav,小格小格，你做错了，我要中东城之歌，你帮我做成中通城之歌！,小哥小哥，你做错了，我要中东城之歌，你把我做成忠诚之歌。,小哥，小哥，你做错了，我要中东城之歌，你帮我做成中通诚之歌啊！
20241219231757.wav,提醒王珍十一点半的时候给我说一个晚安故事。,提醒网站11:30的时候给我说一个晚安故事。,提醒网站11点半的时候给我说一个晚安故事。
20250101152326.wav,请问你有圣诞节活动的照片吗？,请问你有圣诞节活动的照片吗？,请问你有圣诞节活动的照片吗？
20250101123252.wav,小格小格，崇明万达店的那个电话号码多少？,小格小格崇明万达店的那个电话号码多少？,小格小格，崇明万达店的那个电话号码多少？
20241215200313.wav,我呢有很多个葛莱美在家，有高老庄，我呢从线下去卖给 c 端客户啊，下面有门店，我准备批发过来买礼盒，你能帮我提提宝贵意见吗？,我呢有很多个格莱美在家，有高老庄，我能从线下去卖给c端客户，下面有门店，我准备批发过来买礼盒，你能帮我提提宝贵意见吗？,我们有很多个格莱美在家有高老庄，我呢从线下去卖给c端客户，嗯，下面有门店，我这边批发过来买礼盒，你能帮我提提宝贵意见吗？
20241219135749.wav,你的老板是谁？把你们老板的电话给我！,你的老板是谁？把你们老板的电话给我。,你的老板是谁把你们老板的电话给我。
20250101160154.wav,小格小格，新年祝福语怎么发？,小格小格新年祝福语，怎么发？,小格小格新年祝福语怎么发？
20241220130718.wav,小格我到苏州了，给我介绍一下苏州的一些啊文化古迹旅游景点。,小哥我到苏州了，给我介绍一下苏州的一些文化古迹，旅游景点。,小格，我到苏州了，给我介绍一下苏州的一些文化古迹旅游景点。
20241218190619.wav,今年春节是在几号？,今年春节是在几号？,今年春节是在几号？
20241225151504.wav,小格，小格，小格，我是。,小格小格。,小格小格。
20241220192352.wav,提醒我两分钟后喝一杯水！,提醒我两分钟后喝一杯水。,提醒我两分钟后喝一杯水。
20241219221828.wav,一分钟后提醒我开会。,一分钟后提醒我开会。,一分钟后提醒我开会。
20241220224728.wav,我觉得西红柿炒鸡蛋甜口的非常难吃，你觉得呢？,我觉得西红柿炒鸡蛋甜口的非常难吃，你觉得呢？,我觉得西红柿炒鸡蛋甜口的非常难吃，你觉得呢？
20241219222847.wav,提醒王珍在两分钟后给我发送晚安消息。,提醒王珍，在两分钟后给我发送晚安消息。,提醒王蓁在两分钟后给我发送晚安消息。
20241226174942.wav,格莱美的行动总结是谁？,格莱美的行政总裁是谁？,格莱美的行动是谁是谁？
20241215200112.wav,小格小格，你感觉到我心态好不好？,小格小格，你感觉到我心态好不好？,小格小格，你感觉到我心态好不好？
20241219222516.wav,提醒陈磊十点半过后就该休息了。,提醒成了10:30过后就该休息了。,提醒成了十点半过后就该休息了。
20241231211602.wav,小哥小哥，那假如我做了中东城，你在中东城里去体现什么价值呢？,小哥小哥，那假如我做了中东城，你在东东城里去体现什么价值呢？,价格小格，那假如我做了中东成你在中东城里去体现什么价值呢？
20241225230035.wav,小格小格，鞋段冬天的文案。,小格小格写一段冬天的文啊。,小哥，小哥写一段冬天的文案。
20241231212121.wav,小哥小哥，你帮我分析分析现在中国主力消费群是在哪里？,小哥小哥，你帮我分析分析，现在中国主力消费群是在哪里？,小哥，小哥，你帮我分析分析现在中国主力消费群是在哪里？
20241217205606.wav,慈溪三店六五八八的图片发给我。,慈溪三店6588的图片发给我。,慈溪三店6588的图片发给我。
20241231201149.wav,小哥小哥，你帮我做一首歌啊！相约格莱美，邻里共情场，我们是格莱美，呃，跟江银府，我们是门对门的朋友，又是邻居啊！我们做一个跨年晚会，你们帮我写一首歌吧！,小哥小哥，你帮我做一首歌啊，相约格莱美林立供清偿，我们是格莱美跟江阴府，我们是门对门的朋友，又是邻居，嗯，我们做一个跨年晚会，你们帮我写一首歌吧。,小哥，小哥，你帮我做一首歌啊，下月格莱美淋漓共情长，我们是格莱美，额，跟江阴辅我们是门对门的朋友，又是邻居，嗯，我们做一个跨年晚会，你们帮我写一首歌吧！
20241225151659.wav,小哥小哥，发一下慈溪科技路店的外景照片！,找个小格，发一下慈溪科技路店的外景照片。,找个小格发一下慈溪科技路店的外景照片。
20241219194345.wav,格莱美有什么跟烟土鲜比较像的菜吗？,格莱美有什么跟腌笃鲜比较像的菜吗？,格莱美有什么跟监督签比较像的菜吗？
20241221093010.wav,我要发个朋友圈，呃，配的图片是我们海鲜都是活的。呃，怎样发朋友圈比较好？,我要发个朋友圈，配的图片是我们海鲜都是活的，嗯，怎样发朋友圈比较好？,我要发个朋友圈，嗯，配的图片是我们海鲜都是活的啊，怎样发朋友圈比较好？
20241219231609.wav,提醒我五分钟之后去刷牙！,提醒我5分钟之后去刷牙。,提醒我五分钟之后去刷牙。
20241218194332.wav,今天晚上上海会下雪吗？,今天晚上上海会下雪吗？,今天晚上上海会下雪吗？
20241219194027.wav,呃，元旦节怎么放假？,嗯，元旦节怎么放假？,额，元旦节怎么放假？
20241225214906.wav,开美柏林少女厅的图片。,格莱美柏林少女汀的图片。,可爱美柏林少女厅的图片。
20241228070220.wav,最近可以买股票？,最近可以买股票吗？,最近可以买股票吗？
20241203182946.wav,小小哥小哥，我跟谭伟吉小姐在南京认识，在钟山那岭钟山岭相爱结婚在上海，我们现在需要一首歌，你马上帮我做好不好？,小哥小哥，我跟谭伟芝小姐在南京认识，在中山那里，中山陵相爱结婚，在上海我们现在需要一首歌，你马上帮我做好不好。,小哥哥，小哥，我跟谭伟奇小姐在南京认识，在中山那里中山岭相爱结婚在上海，我们现在需要一首歌，你马上帮我做好不好？
20241230143649.wav,介绍一下格莱美固村店。,介绍一下格莱美顾村店。,介绍一下格莱美顾村店。
20241225214443.wav,小哥小哥，我要看一下科技路上的格莱美柏林少女听的照片。,小哥小哥，我要看下科技路上的格莱美，柏林少女汀的照片。,小哥，小哥，我要看一下科技路上的格莱美，柏林少女厅的照片。
20241221002008.wav,二十分钟后提醒我睡觉。,20分钟后提醒我睡觉。,20分钟后提醒我睡觉。
20241220225915.wav,哈哈，一千瓦的功率，我开一晚上的空调要多少度电？,1千瓦的功率，我开一晚上的空调要多少度电？,1000瓦的功率，我开一晚上的空调要多少度电？
20241219223450.wav,两分钟后提醒高总尝试使用小格的提醒功能。,两分钟后提醒高总，尝试使用小格的提醒功能。,两分钟后提醒高总尝试使用小格的提醒功能。
20241219221938.wav,一分钟后提醒我开会。,一分钟后提醒我开会。,一分钟后提醒我开会。
20241219231727.wav,提醒陈泽玉赶紧回家睡觉。,提醒陈泽宇赶紧回家睡觉。,提醒，乘着鱼鱼，赶紧回家睡觉。
20241219222954.wav,两分钟后提醒王珍给我发晚安消息。,两分钟后提醒王峥，给我发晚安消息。,两分钟后提醒王峥给我发个消息。
20241222131805.wav,迎客松的年纪有多大了？,迎客松的年纪有多大了？,迎客松的年纪有多大了？
20241221143109.wav,今天参加朋友的宴会，家庭宴会。我要发大众点评，你帮我写一个四十个字的文案。,今天参加朋友的宴会，家庭宴会，我要发大众点评，你帮我写一个40个字的文案。,今天参加朋友的宴会，家庭宴会，我要发大众点评，你帮我写一个40个字的文案。
20241222210536.wav,提醒我晚上十点五十分的时候拿行李。,提醒我晚上10:50的时候拿行李。,提醒我晚上10点50分的时候拿行李。
20241225230127.wav,小格小格，请问格莱美的王巧纳是做什么的？,小哥小哥，请问格莱，美的，王巧娜是做什么的？,小哥，小哥，请问格莱美德王乔娜是做什么的？
20241228191750.wav,放假喽！科莱美三店的迪拜厅还有其他的可以介绍的吗？,格莱美商店的迪拜厅，还有其他的可以介绍的吗？,格莱美商店的迪拜厅还有其他的可以介绍的吗？
20241220224759.wav,我觉得麻辣的西红柿炒鸡蛋很好吃。,我觉得麻辣的西红柿炒鸡蛋很好吃。,我觉得麻辣的西红柿炒鸡蛋很好吃。
20241225214736.wav,唉，小格小格，科技路上格莱美的呃，宴会中心歌剧魅影厅的尺寸。,小格小格科技路上格莱美第2页会中心，歌剧魅影听的尺寸。,小格小格科技路上格莱美的奥运会中心歌剧魅影厅的尺寸。
20241218131701.wav,给我列出主流的英伟达显卡的算力。,给我列出主流的英伟达显卡的算力。,给我列出主流的英伟达显卡的算力。
20241231212958.wav,小格小格，你帮我查一下二零二四年最赚钱的行业前十名是哪几个行业？,小哥小哥，你帮我查一下2024年最赚钱的行业，前10名是哪几个行业？,小格小格，你帮我查一下2024年最赚钱的行业前十名是哪几个行业？
20241217205058.wav,小哥小哥，我要慈溪三店的五千八百八的套餐，给我一下。,小格小格我要慈溪三店的，5880的套餐给我一下。,小哥，小哥，我要慈溪三店的5880的套餐，给我一下。
20241223205012.wav,现在是几点了？,现在是几点了？,现在是几点了？
20241210182128.wav,呼叫小格！,呼叫小格。,呼叫小格。
20241230143058.wav,手工的雨水白桦是什么意思？,手工的雨水白化是什么意思？,手工的雨水白化是什么意思？
20241220211443.wav,一二三四五六羊蝎子好吃吗？,123456羊蝎子好吃吗？,123456羊蝎子好吃吗？
20241218231829.wav,小格小格，你帮我慈溪三殿迪拜听，帮我弄一个视频给我！视频给我！,小格小格你帮我持续三天，礼拜天帮我弄一个视频给我视频给我。,小哥，小哥，你帮我慈溪三点礼拜天帮我弄一个视频给我视频给我。
20241228005050.wav,精算师主要从事哪些工作？,精算师主要从事哪些工作？,精算师主要从事哪些工作？
20241220211324.wav,你觉得羊蝎子好吃吗？,你觉得羊蝎子好吃吗？,你觉得羊蝎子好吃吗？
20241225151006.wav,小格！小格！,小格小格。,小格小格。
20241203160719.wav,小哥小哥，你帮我慈溪五店海洋店的照片给我！,小哥小哥你帮我慈溪五店海洋厅的照片给我。,小哥，小哥，你帮我慈溪五店海洋厅的照片给我。
20241203181732.wav,我们正班长玉树林峰啊，英静潇洒，为人谦卑。,我们正班长玉树临风，英俊潇洒，为人谦卑。,我们正班长玉树临风啊，英俊潇洒，为人谦卑。
20241222100003.wav,这是什么地方？给我介绍一下！,这是什么地方？给我介绍一下。,这是什么地方？给我介绍一下。
20241229121432.wav,小格小格，介绍一下呃，格莱美商店的海洋厅？,小哥小哥，介绍一下厄格莱美商店的海洋厅。,小哥，小哥，介绍一下啊，格莱美商店的海洋厅。
20241219145353.wav,我要写三十到四十个字的点评的笔记。,我要写30~40个字的点评的笔记。,我要写30到40个字的点评的笔记。
20241216221215.wav,小哥小哥，我爱上了张杰，我跟他原来在海边认识，现在我们要走进婚礼殿堂，你帮我写一首歌。我们两个相差五岁，他来自安徽，我来自上海，你帮我写一首歌吧。,小哥小哥我爱上了张杰，我跟他原来在海边认识，现在我们要走进婚礼殿堂，你帮我写一首歌，我们两个相差5岁，他来自安徽，我来自上海，你帮我写一首歌吧。,小格小哥，我爱上了张杰，我跟他原来在海边认识，现在我们要走进婚礼殿堂，你帮我写首歌，我们两个相差五岁，他来自安徽，我来自上海，你帮我写一首歌吧！
20241219231640.wav,提醒我十二点之后上床睡觉。,提醒我12点之后上床睡觉。,提醒我12点之后上床睡觉。
20241220211452.wav,介绍一下松鼠桂鱼怎么做？,介绍一下松鼠桂鱼怎么做？,介绍一下松鼠桂鱼怎么做？
20241215194542.wav,小哥小哥，明天浙江慈溪区域天气预报发给我看看！,小哥小哥，明天浙江慈溪区域天气预报发给我看看。,那个小哥，明天浙江慈溪区域天气预报发给我看看。
20241225200154.wav,啊可爱贝秀山路店最新的图片！,格莱美秀山路店最新的图片。,格莱美秀山路店最新的图片。
20241225151406.wav,嗯，格莱美员工周娟。,嗯，格莱美员工周娟。,恩格莱美员工周娟。
20241220224827.wav,提醒磊哥五分钟过后记得下班！,提醒每隔5分钟过后记得下班。,提醒磊哥，五分钟过后，记得下班。
20241218194227.wav,那明天呢？我想知道明天的。,那明天呢，我想知道明天的。,那明天呢？我想知道明天的。
20241218190726.wav,下一个春节是什么时间？,下一个春节是什么时间？,下一个春节是什么时间？
20241203121152.wav,一、二、三、四、五、六、七、八、九、十。,1234 56789 10,一二三四五六七八九十。
20241229233448.wav,啊，来一句晚安寄语。,嗯，来一句晚安寄语。,来一句晚安寄语。
20241219222952.wav,让磊哥在半个小时过后就去睡觉吧，不要太劳累了。,让磊哥在半个小时过后就去睡觉吧，不要太劳累了。,让你哥在半个小时过后就去睡觉吧，不要太劳累了。
20241227103100.wav,帝王蟹多少钱一斤？,帝王蟹多少钱一斤？,帝王蟹多少钱一斤？
20241219230205.wav,小哥小哥，格莱美的呃愿景是什么？格莱美的使命是什么？,小格小格格莱美的愿景是什么？格莱美的使命是什么？,小哥，小哥，格莱美的的愿景是什么？格莱美的使命是什么？
20241219190751.wav,格莱美高管名单。,格莱美高管名单。,格莱美高管名单。
20241231210420.wav,小哥小哥，那你决定你帮我看看这个中东城我投多少钱比较好比较合理？,小哥小哥那你决定，你帮我看看这个工程我投多少钱比较好比较合理。,小哥，小哥，那你决定，你帮我看看这个中东城我投多少钱比较好，比较合理。
20241229140026.wav,一步之遥的演员阵容？,一步之遥的演员阵容。,一步之遥的演员阵容。
20241220192327.wav,两分钟过后提醒王总把你加回来。,两分钟过后提醒王总把你加回来。,两分钟过后，提醒王总把你加回来。
20241219190747.wav,嗯，我们的 wiki 小姐姐的本名叫什么呀？你知道吗？,嗯，我们的VIP小姐姐的本名叫什么呀？你知道吗？,我们的微信小姐姐的本名叫什么呀，你知道吗？
20241203155821.wav,格小格，我现在偷偷地爱上了伍家珍，现在你帮我做个音乐吧，现在边帮我音乐照片全部做好，谢谢！,和小格，我现在偷偷的爱上了伍嘉珍，现在你帮我做个音乐吧，现在别人帮我音乐照片全部做好，谢谢。,的小哥，我现在偷偷的爱上了吴佳珍，现在你帮我做个音乐吧，现在便帮我音乐照片全部做好，谢谢。
20241227172102.wav,写个快排用 python。,写个快排用Python。,写个快排，用拍身。
20241222104104.wav,从一屏风走到光明顶大概需要多长时间？,从玉屏峰走到光明顶大概需要多长时间？,从一平方走到光明顶，大概需要多长时间？
20241216112937.wav,给我唱一首关于我在海边散步的歌曲。,给我唱一首关于我在海边散步的歌曲。,给我唱一首关于我在海边散步的歌曲。
20241219222206.wav,提醒陈泽玉两分钟后去抽烟。,提醒程泽钰两分钟后去抽烟。,提醒陈泽雨两分钟后去抽烟。
20250101123233.wav,小格格莱美万达店重名？万达店的电话号码多少？,小格格莱美万达电崇明万达店的电话号码多少？,小格格莱美万达店，崇明万达店的电话号码多少？
20241219205120.wav,五分钟过后提醒我喝一口水可以吗？,5分钟过后提醒我喝一口水可以吗？,五分钟过后，提醒我喝一口水，可以吗？
20241220135614.wav,小哥，小哥，我现在走在海，走在河边，呃，吹着西北风，晒着阳光，你帮我做一首歌给我听听吧！,小哥小哥，我现在走在海走在河边，吹着西北风晒着阳光，你帮我做一首歌给我听听吧。,小哥，小哥，我现在走在海走在河边，在吹着西北风，晒着阳光，你帮我做一首歌给我听听吧。
20241218222903.wav,提醒我今天晚上十点半和销售部的负责人开会。,提醒我今天晚上10:30和销售部的负责人开会。,提醒我今天晚上十点半和销售部的负责人开会。
20241217204628.wav,小哥小哥，你把慈溪三店的小中式图片发给我看看。,小哥小哥，你把慈溪三店的小装饰图片发给我看看。,小哥，小哥，你把慈溪三店的小棕是图片发给我看看。
20241225151555.wav,查一下格莱美宴会酒店，科技路的销控，二零二五年的销控。,查一下格莱美宴会酒店科技路的销控，2025年的时候。,查一下格莱美宴会酒店科技六的小米，2025年的小。
20241223132630.wav,帮我写八十个字的文案，我需要发点评的笔记，是关于婚礼的文案。,帮我写80个字的文案，我需要发点评的笔记是关于婚礼的文案。,帮我写80个字的文案，我需要发点评的笔记是关于婚礼的文案。
20241220101621.wav,小哥你好！,小哥你好。,小哥你好。
20241217105405.wav,小格帮我生成一段音乐，这个音乐是关于上班九九六很痛苦的一个音乐。,小哥帮我生成一段音乐，这个音乐是关于上班996很痛苦的一个音乐。,小格，帮我生产一段音乐，这个音乐是关于上班996很痛苦的一个音乐。
20241218193234.wav,你好！你好！你好！,你好你好你好。,你好你好你好。
20241219173758.wav,小哥，帮我写一个五十个字的文案，我要发点评的笔记！,小哥帮我写一个50个字的文案，我要发点评的笔记。,小哥，帮我写一个50个字的文案，我要发点评的笔记。
20241219221930.wav,提醒我两分钟后去吃饭！,提醒我两分钟后去吃饭。,提醒我两分钟后去吃饭。
20241215201504.wav,小哥小哥，你感觉到我从现在开始做，做到三月一号我投一百万做水果，你估计到三月一号我能赚多少钱？,小哥小哥，你感觉到我从现在开始做做到3月1号我投100万做水果，你估计到3月1号我能赚多少钱？,小哥，小哥，你感觉到我从现在开始做做到3月1号，我投100万做水果，你估计到3月1号我能赚多少钱？
20241221131353.wav,早上睡醒嘴巴发干是怎么回事？,早上睡醒嘴巴发干是怎么回事？,早上睡醒嘴巴发干是怎么回事？
20241210182057.wav,帮我写五百字的中式婚礼文案！,帮我写500字的中式婚礼文案。,帮我写500字的中式婚礼文案。
20241211184914.wav,小格小格亚朵酒店平均装修一个房间需要多少钱？,小哥小哥，亚朵酒店平均装修一个房间需要多少钱？,小格小格亚朵酒店平均装修一个房间，需要多少钱？
20241219205448.wav,五分钟过后提醒我喝一口水可以吗？,5分钟过后提醒我喝一口水可以吗？,五分钟过后，提醒我喝一口水，可以吗？
